date,New Zealand,Fiji,"UK, CI & IOM",France,Germany,Italy,Thailand,Malaysia,Singapore,China,Japan,Korea,India,Canada,Mexico,year,month
Mar-2019,77490.22265920877,2551.9887738931566,52167.72631715292,8057.798808176458,15488.17496199797,4004.225479478765,5907.64252078029,21374.668404541575,27218.863690611815,87677.02867654471,37694.70711051577,18420.84714415143,23961.90564216254,15988.703146932814,641.5220398460697,2019,Mar
Apr-2019,84046.4369125807,2587.2372376209623,41698.93258999453,6464.5682476796255,9481.836742779822,2862.1752546978496,9361.99196610528,17405.691388790616,21043.332845500197,67846.24298328104,23094.79343445851,11772.986885087214,21797.649969275248,10701.43358776191,888.2612859407119,2019,Apr
May-2019,82847.9891458353,2446.2433827097384,21134.978851192496,5646.803889194526,6513.916096898554,2615.4360086032075,6069.785453928198,29510.01383291921,29333.771514280175,66753.54060771906,19710.94091658913,13274.57143989175,28586.50408325069,7338.730148129215,507.5778776804068,2019,May
Jun-2019,77483.17296646321,2199.5041366150963,19943.580777192652,5555.15788350223,5886.493442543607,2798.7280199877987,4885.437072673915,22305.227846955655,41621.38596979336,56876.92107118781,17363.39323231725,13507.21130049527,24201.595195511618,5942.890984508096,662.6711180827533,2019,Jun
Jul-2019,94205.0441589344,1952.764890520454,27705.292490055537,9897.768614767932,10299.601101264921,4709.194754034886,6182.580537857178,20754.29544293219,23983.05472039922,106020.32920049498,30313.678805913183,14755.006916459604,18357.39990944138,7775.81109835401,1001.0563698696913,2019,Jul
Aug-2019,87916.7182298938,2601.336623112085,25470.539889712636,7719.413556389521,9298.54473139523,5555.15788350223,6845.251655939931,32872.717272551905,31166.69162812609,90433.45854005915,44462.41214625452,14776.155994696288,23482.526535464378,7437.425846567072,578.0748051360189,2019,Aug
Sep-2019,89524.04817588175,2488.5415391831057,29115.23103916778,7395.127690093705,10165.656939099259,4145.219334389989,5280.219866425343,23545.973770174427,25562.18589540493,69784.90848831038,28727.497938161912,14085.286105631289,22573.11617128698,7684.165092661714,655.6214253371921,2019,Sep
Oct-2019,100789.45718328856,2410.994918981932,42960.82759144999,9383.141044341965,13366.217445584047,4384.9088877390695,7000.344896342277,21445.16533199719,27796.938495747836,72407.39418965914,27987.280199877987,13972.49102170231,20472.30773310974,10229.10417380931,683.820196319437,2019,Oct
Nov-2019,84885.35034930248,3285.156819431522,48558.283631425584,9228.047803939618,13112.428506743843,4807.890452472742,5139.226011514119,25548.08650991381,34332.003670883074,71476.83474724507,32097.25107054017,18336.250831204696,26351.751482907788,13471.962836767465,796.6152802484163,2019,Nov
Dec-2019,101184.23997703998,4962.983692875089,83560.00811313697,11949.229203726243,20711.997286458824,7677.115399916153,7578.419701478296,27021.4722937361,39689.770157509585,78815.56489537428,36679.55135515495,22037.33952262433,31469.82841618522,16876.964432873527,1283.0440796921393,2019,Dec
Jan-2020,68424.31778841706,2305.2495277985145,50828.284695496295,9030.656407063905,13048.981272033792,4885.437072673915,3574.1942219995312,10144.507860862575,13690.503311879862,110405.23808823404,23983.05472039922,20754.29544293219,17236.498762897147,12886.838338885884,958.758213396324,2020,Jan
Feb-2020,61980.89861897412,2291.150142307392,59746.14601863122,10095.160011643646,15502.274347489092,3792.7346971119287,4455.405815194682,14395.472586435983,16940.411667583576,15036.994626282052,30856.505147321397,14846.6529221519,26415.198717617837,16277.740549500824,754.317123775049,2020,Feb
Mar-2020,33965.419648113886,1332.391928911068,27747.590646528904,4948.884307383966,8297.488361525538,1586.1808677512713,2347.5476842718817,6725.406879265391,9185.749647466251,19696.84153109801,9383.141044341965,1917.516426792648,14191.031496814707,7127.239365762379,394.7827937514275,2020,Mar
Apr-2020,260.83863158576463,14.099385491122412,98.69569843785688,28.198770982244824,119.8447766745405,7.049692745561206,21.149078236683618,21.149078236683618,42.298156473367236,35.248463727806026,21.149078236683618,7.049692745561206,56.39754196448965,21.149078236683618,7.049692745561206,2020,Apr
May-2020,838.9134367217835,14.099385491122412,239.689553349081,21.149078236683618,14.099385491122412,14.099385491122412,35.248463727806026,14.099385491122412,70.49692745561205,63.44723471005085,49.34784921892844,21.149078236683618,77.54662020117327,28.198770982244824,0.0,2020,May
Jun-2020,1015.1557553608136,14.099385491122412,401.83248649698874,42.298156473367236,49.34784921892844,42.298156473367236,42.298156473367236,14.099385491122412,119.8447766745405,126.8944694201017,35.248463727806026,14.099385491122412,112.7950839289793,49.34784921892844,7.049692745561206,2020,Jun
Jul-2020,352.4846372780603,7.049692745561206,289.03740256800944,35.248463727806026,42.298156473367236,28.198770982244824,21.149078236683618,49.34784921892844,98.69569843785688,91.64600569229567,28.198770982244824,14.099385491122412,84.59631294673447,70.49692745561205,0.0,2020,Jul
Aug-2020,260.83863158576463,7.049692745561206,218.5404751123974,14.099385491122412,21.149078236683618,21.149078236683618,21.149078236683618,35.248463727806026,91.64600569229567,112.7950839289793,35.248463727806026,28.198770982244824,155.09324040234654,28.198770982244824,7.049692745561206,2020,Aug
Sep-2020,246.7392460946422,7.049692745561206,303.13678805913185,28.198770982244824,35.248463727806026,28.198770982244824,21.149078236683618,28.198770982244824,133.9441621656629,140.9938549112241,56.39754196448965,21.149078236683618,148.0435476567853,56.39754196448965,0.0,2020,Sep
Oct-2020,634.4723471005085,28.198770982244824,472.32941395260076,84.59631294673447,77.54662020117327,63.44723471005085,28.198770982244824,35.248463727806026,162.14293314790774,239.689553349081,42.298156473367236,28.198770982244824,253.7889388402034,84.59631294673447,0.0,2020,Oct
Nov-2020,1156.1496102720378,21.149078236683618,592.1741906271412,63.44723471005085,98.69569843785688,56.39754196448965,35.248463727806026,49.34784921892844,246.7392460946422,239.689553349081,112.7950839289793,35.248463727806026,232.6398606035198,126.8944694201017,0.0,2020,Nov
Dec-2020,1776.5225718814238,21.149078236683618,620.3729616093862,77.54662020117327,77.54662020117327,35.248463727806026,42.298156473367236,63.44723471005085,331.33555904137665,225.5901678579586,56.39754196448965,42.298156473367236,225.5901678579586,105.74539118341809,7.049692745561206,2020,Dec
Jan-2021,1113.8514537986705,35.248463727806026,521.6772631715293,119.8447766745405,84.59631294673447,98.69569843785688,21.149078236683618,70.49692745561205,246.7392460946422,267.8883243313258,91.64600569229567,42.298156473367236,211.49078236683619,105.74539118341809,7.049692745561206,2021,Jan
Feb-2021,1106.8017610531092,42.298156473367236,444.13064297035595,84.59631294673447,77.54662020117327,42.298156473367236,42.298156473367236,49.34784921892844,148.0435476567853,176.24231863903015,49.34784921892844,49.34784921892844,225.5901678579586,63.44723471005085,7.049692745561206,2021,Feb
Mar-2021,1452.2367055856084,84.59631294673447,571.0251123904577,63.44723471005085,105.74539118341809,42.298156473367236,56.39754196448965,70.49692745561205,225.5901678579586,183.29201138459135,63.44723471005085,49.34784921892844,281.9877098224482,84.59631294673447,0.0,2021,Mar
Apr-2021,11505.098560755887,28.198770982244824,465.2797212070396,77.54662020117327,84.59631294673447,63.44723471005085,49.34784921892844,63.44723471005085,162.14293314790774,218.5404751123974,77.54662020117327,49.34784921892844,197.39139687571375,91.64600569229567,7.049692745561206,2021,Apr
May-2021,20098.674017594996,21.149078236683618,606.2735761182637,112.7950839289793,126.8944694201017,84.59631294673447,56.39754196448965,63.44723471005085,401.83248649698874,253.7889388402034,133.9441621656629,56.39754196448965,84.59631294673447,112.7950839289793,0.0,2021,May
Jun-2021,19309.108430092143,70.49692745561205,613.3232688638249,155.09324040234654,98.69569843785688,84.59631294673447,63.44723471005085,91.64600569229567,472.32941395260076,253.7889388402034,253.7889388402034,63.44723471005085,176.24231863903015,126.8944694201017,7.049692745561206,2021,Jun
Jul-2021,9277.395653158546,14.099385491122412,521.6772631715293,98.69569843785688,105.74539118341809,56.39754196448965,42.298156473367236,63.44723471005085,225.5901678579586,176.24231863903015,56.39754196448965,49.34784921892844,281.9877098224482,91.64600569229567,7.049692745561206,2021,Jul
Aug-2021,712.0189673016818,14.099385491122412,387.73310100586633,56.39754196448965,56.39754196448965,21.149078236683618,35.248463727806026,28.198770982244824,253.7889388402034,190.34170413015255,28.198770982244824,21.149078236683618,289.03740256800944,56.39754196448965,0.0,2021,Aug
Sep-2021,70.49692745561205,21.149078236683618,267.8883243313258,35.248463727806026,49.34784921892844,21.149078236683618,21.149078236683618,28.198770982244824,218.5404751123974,98.69569843785688,21.149078236683618,7.049692745561206,225.5901678579586,49.34784921892844,0.0,2021,Sep
Oct-2021,148.0435476567853,28.198770982244824,267.8883243313258,77.54662020117327,42.298156473367236,35.248463727806026,14.099385491122412,42.298156473367236,126.8944694201017,112.7950839289793,28.198770982244824,28.198770982244824,218.5404751123974,42.298156473367236,0.0,2021,Oct
Nov-2021,754.317123775049,84.59631294673447,1966.8642760115763,211.49078236683619,218.5404751123974,133.9441621656629,98.69569843785688,267.8883243313258,2213.6035221062184,726.1183527928042,84.59631294673447,148.0435476567853,1635.5287169701996,289.03740256800944,7.049692745561206,2021,Nov
Dec-2021,2664.783857822136,366.5840227691827,8798.016546460385,1008.1060626152524,1149.0999175264765,563.9754196448964,479.379106698162,810.7146657395386,6464.5682476796255,1959.8145832660152,430.03125747923355,888.2612859407119,5308.418637407588,1198.447766745405,49.34784921892844,2021,Dec
Jan-2022,1642.578409715761,634.4723471005085,6852.301348685492,1106.8017610531092,916.4600569229567,578.0748051360189,542.8263414082129,676.7705035738758,2262.951371325147,2636.585086839891,606.2735761182637,1022.2054481063748,5576.306961738914,1205.497459490966,84.59631294673447,2022,Jan
Feb-2022,3397.951903360501,690.8698890649981,9735.625681620026,1395.8391636211188,1501.5845548045368,697.9195818105594,867.1122077040283,1254.8453087098947,3835.032853585296,5442.36279957325,824.8140512306611,1233.696230473211,7937.954031501918,1882.267963064842,84.59631294673447,2022,Feb
Mar-2022,13253.422361655066,1191.3980739998437,19710.94091658913,2065.5599744494334,3306.3058976682055,1120.9011465442318,1656.6777952068833,2143.1065946506064,9580.532441217678,3616.4923784728985,1529.7833257867817,1783.572264626985,12181.869064329763,3574.1942219995312,119.8447766745405,2022,Mar
Apr-2022,29961.194168635124,1374.6900853844352,22481.470165594685,2403.945226236371,3341.5543613960117,1409.9385491122412,2953.821260390145,2897.4237184256554,15093.39216824654,2502.6409246742282,2382.7961479996875,2551.9887738931566,18731.033624956122,3997.1757867332035,176.24231863903015,2022,Apr
May-2022,32900.91604353415,1438.1373200944859,11575.5954882115,2100.808438177239,2467.392460946422,1219.5968449820887,2876.2746401889717,3264.007741194838,18963.673485559644,2996.1194168635125,2418.0446117274937,2735.280785277748,22255.879997736727,3581.2439147450923,162.14293314790774,2022,May
Jun-2022,40324.2425046101,1431.0876273489248,11787.086270578337,2143.1065946506064,2432.143997218616,1431.0876273489248,2692.9826288043805,3320.405283159328,26112.061929558706,4617.5487483425895,2544.939081147595,3144.162964520298,20140.972174068364,3306.3058976682055,218.5404751123974,2022,Jun
Jul-2022,56087.35548368495,1600.2802532423937,17863.921417252095,3835.032853585296,4793.79106698162,2072.6096671949945,3115.9641935380528,5456.462185064373,16848.76566189128,8734.569311750334,5357.766486626517,4991.1824638573335,15777.212364565978,4138.169641644427,422.98156473367237,2022,Jul
Aug-2022,53225.180228987105,1579.13117500571,16855.81535463684,3877.331010058663,5005.2818493484565,3031.3678805913187,3842.082546330857,7458.5749248037555,20549.854353310915,5914.692213525852,9220.998111194058,4913.63584365616,22848.05418836387,4702.145061289324,380.6834082603051,2022,Aug
Sep-2022,58378.505625992344,2100.808438177239,23616.47069763004,4617.5487483425895,5992.238833727025,2742.330478023309,3694.038998674072,8946.06009411717,20930.53776157122,5273.170173679782,5526.959112519985,4617.5487483425895,18660.536697500513,5442.36279957325,401.83248649698874,2022,Sep
Oct-2022,69509.9704712335,2220.65321485178,33429.64299945124,5548.108190756669,8473.73068016457,2855.1255619522885,4589.349977360345,7211.835678709113,20923.48806882566,4984.132771111773,6845.251655939931,4462.4555079402435,19957.680162683773,7395.127690093705,507.5778776804068,2022,Oct
Nov-2022,64300.247532263755,2079.6593599405555,39062.34750315464,5745.499587632383,8621.774227821355,3729.2874624018777,4652.797212070396,7684.165092661714,26358.80117565335,6415.220398460698,8776.867468223702,8248.14051230661,24934.763241049986,10222.054481063748,613.3232688638249,2022,Nov
Dec-2022,68826.15027491405,3482.5482163072356,68445.46686665375,7825.158947572939,13316.869596365117,4716.244446780446,5639.754196448965,9792.023223584514,27070.82014295503,9784.973530838954,9933.017078495739,11413.452555063592,24836.067542612127,12597.800936317875,874.1619004495896,2022,Dec
Jan-2023,46161.388097934774,2107.8581309228007,38822.65794980556,5174.474475241925,8720.469926259211,2735.280785277748,2763.4795562599925,4737.39352501713,7740.562634626204,10313.700486756044,6760.655342993196,12900.937724377007,13824.447474045524,8579.476071347988,571.0251123904577,2023,Jan
Feb-2023,55445.833443838885,2784.628634496676,50835.334388241856,7740.562634626204,12668.297863773487,3884.3807028042243,4836.089223454987,9658.079061418852,13979.54071444787,28501.907770303955,16841.71596914572,17588.98340017521,22220.63153400892,12936.186188104812,676.7705035738758,2023,Feb
Mar-2023,67564.25527345859,2537.889388402034,51808.1919871293,7338.730148129215,11639.042722921551,3397.951903360501,6351.773163750647,8967.209172353854,21741.25242731076,18900.22625084959,18857.928094376224,13429.664680294098,27345.758160031917,12315.813226495426,803.6649729939775,2023,Mar
Apr-2023,79055.25444872337,3419.1009815971847,30257.281263948695,5364.816179372077,6774.754728484319,2284.100449561831,8939.010401371608,10807.178978945329,18068.36250687337,22559.01678579586,10285.501715773798,11068.017610531093,24948.862626541108,8600.625149584672,662.6711180827533,2023,Apr
May-2023,69291.42999612109,3665.840227691827,17349.293846826127,4807.890452472742,4596.399670105906,2735.280785277748,6443.419169442942,11871.682583525071,27726.441568292223,22707.060333452642,13077.180043016037,13175.875741453894,29065.88318994885,6915.7485833955425,422.98156473367237,2023,May
Jun-2023,75234.32098062919,3764.535926129684,16002.802532423937,4892.486765419477,4314.411960283458,3348.6040541415728,6069.785453928198,8903.761937643803,30038.740788836298,26316.50301917998,10602.737889324053,12837.490489666956,25858.272990718502,5153.325397005241,606.2735761182637,2023,Jun
Jul-2023,81748.23707752774,3842.082546330857,23256.936367606417,6683.108722792023,7423.32646107595,4053.5733286976933,6711.307493774268,9925.967385750178,16609.076108542202,55720.77146091577,21529.761644943923,16179.044851062967,17003.85890229363,6824.102577703247,838.9134367217835,2023,Jul
Aug-2023,74057.02229212047,2707.082014295503,22136.035221062186,5604.505732721159,6845.251655939931,4088.821792425499,5773.698358614627,15410.628341796795,22086.687371843258,41445.14365115433,30701.41190691905,21149.078236683617,21325.320555322647,6443.419169442942,620.3729616093862,2023,Aug
