month_year,year,month,in_visits_fr,in_holiday,in_total,in_total_visitors,in_ratio,out_visits_fr,out_holiday,out_total,out_total_visitors,ratio
Mar-2020,2020,Mar,112410,124450,331890,236860,0.7136701919310615,141410,298950,538360,440360,0.817965673527008
Apr-2020,2020,Apr,810,150,2250,960,0.4266666666666667,7730,4450,17050,12180,0.7143695014662756
May-2020,2020,May,1260,120,3440,1380,0.4011627906976744,6960,1660,13380,8620,0.6442451420029895
Jun-2020,2020,Jun,1980,130,5400,2110,0.3907407407407407,7760,1640,15760,9400,0.5964467005076142
Jul-2020,2020,Jul,1430,120,3530,1550,0.43909348441926344,4210,760,10280,4970,0.48346303501945526
Aug-2020,2020,Aug,1110,50,3030,1160,0.38283828382838286,3010,540,8070,3550,0.4399008674101611
Sep-2020,2020,Sep,1360,70,3720,1430,0.3844086021505376,3240,370,8170,3610,0.4418604651162791
Oct-2020,2020,Oct,2420,140,6070,2560,0.42174629324546953,4650,560,11170,5210,0.4664279319606088
Nov-2020,2020,Nov,3950,290,7570,4240,0.560105680317041,5070,740,13000,5810,0.4469230769230769
Dec-2020,2020,Dec,5350,420,8820,5770,0.6541950113378685,5670,670,14300,6340,0.4433566433566434
Jan-2021,2021,Jan,2810,230,7990,3040,0.3804755944931164,5130,430,11350,5560,0.48986784140969164
Feb-2021,2021,Feb,2450,180,6260,2630,0.42012779552715657,3860,260,8390,4120,0.49106078665077474
Mar-2021,2021,Mar,3610,270,8320,3880,0.46634615384615385,4180,260,9250,4440,0.48
Apr-2021,2021,Apr,14520,1970,22610,16490,0.7293233082706767,9870,1160,16990,11030,0.6492054149499705
May-2021,2021,May,21520,4070,36190,25590,0.7071014092290688,40760,7790,62360,48550,0.7785439384220654
Jun-2021,2021,Jun,21110,5660,36770,26770,0.72803916236062,28390,9870,50490,38260,0.757773816597346
Jul-2021,2021,Jul,11000,2670,18720,13670,0.7302350427350427,22180,12510,41830,34690,0.8293091082954817
Aug-2021,2021,Aug,1700,120,6390,1820,0.28482003129890454,4360,960,10310,5320,0.516003879728419
Sep-2021,2021,Sep,970,40,4430,1010,0.22799097065462753,1890,140,6040,2030,0.3360927152317881
Oct-2021,2021,Oct,900,50,4410,950,0.21541950113378686,1660,130,5070,1790,0.3530571992110454
Nov-2021,2021,Nov,14020,1250,20860,15270,0.7320230105465004,12800,2340,25910,15140,0.584330374372829
Dec-2021,2021,Dec,53400,4860,73290,58260,0.794924273434302,25690,13500,52830,39190,0.7418133636191557
Jan-2022,2022,Jan,35940,4070,60760,40010,0.6584924292297564,87950,47220,151570,135170,0.8917991687009302
Feb-2022,2022,Feb,49830,6340,90460,56170,0.6209374309086889,69040,27140,116860,96180,0.8230361115865138
Mar-2022,2022,Mar,104650,22510,170250,127160,0.7469016152716593,76790,38600,146340,115390,0.7885062183955173
Apr-2022,2022,Apr,146440,42600,235460,189040,0.8028539879385034,141630,96160,282630,237790,0.8413473445847929
May-2022,2022,May,114360,50640,231480,165000,0.7128045619491965,170080,124990,360610,295070,0.8182524056459888
Jun-2022,2022,Jun,133610,76490,275300,210100,0.763167453686887,152100,169390,390890,321490,0.8224564455473407
Jul-2022,2022,Jul,140080,93620,325680,233700,0.7175755342667649,246590,345890,671040,592480,0.8829279923700525
Aug-2022,2022,Aug,148450,104140,348440,252590,0.7249167718976007,215260,311250,607950,526510,0.8660416152644131
Sep-2022,2022,Sep,160560,111980,371850,272540,0.7329299448702434,193240,347750,633790,540990,0.8535792612695057
Oct-2022,2022,Oct,167770,157810,430470,325580,0.7563360977536181,221440,394030,721860,615470,0.8526168509129194
Nov-2022,2022,Nov,210980,173340,505240,384320,0.7606681972923759,186580,323690,612120,510270,0.8336110566555577
Dec-2022,2022,Dec,355010,212810,648970,567820,0.8749556990307719,171740,274100,529980,445840,0.8412392920487566
Jan-2023,2023,Jan,143080,160540,412410,303620,0.7362091122911666,421760,562680,1097900,984440,0.8966572547590855
Feb-2023,2023,Feb,201350,218480,600710,419830,0.6988896472507533,236850,305350,639580,542200,0.8477438318896776
Mar-2023,2023,Mar,242070,229680,613340,471750,0.769149248377735,186120,332920,635730,519040,0.8164472338886005
Apr-2023,2023,Apr,222680,213040,544920,435720,0.7996036115393085,220960,429810,750170,650770,0.8674967007478305
May-2023,2023,May,182590,195700,512330,378290,0.738371752581344,197590,397410,707440,595000,0.8410607259979644
